race_id,race_title,race_distance,race_elevation
962,Trail delle Valli Etrusche 2021 - Valli Etrusche U-TRAIL,2080 M+,43.1 KM
956,MONTANE® Spine® Races 2022 - Montane Winter Spine Sprint,2017 M+,74 KM
955,Ultra Desafio Itamonte 2021 - Ultra Desafio 55 km,2230 M+,55.5 KM
954,Buffalo Sunriser 2021 - Buffulo Sunriser 60km,3880 M+,60.4 KM
953,Lyon Urban Trail 2021 - Lut Just.. In Time - 15kms,650 M+,15 KM
985,kagamizu forest trail 2021 - Long,1360 M+,24.8 KM
984,Altai Ultra-Trail® 2021 - AUT XS,1580 M+,25 KM
983,Thabraca Trail challenge 2022 - Ultra Trail Challenge 2022,2800 M+,69 KM
982,Boso-Mt.Nokogiri Trail Run 2021 2021 - Triple,1870 M+,33.3 KM
981,Trail des 2 Roches 2021 - 26 km,1060 M+,26 KM
980,STUMILAK 2021 - 50m,4470 M+,79 KM
979,Ćićarija Trail Run 2021 - ĆTR | Brest,1110 M+,26.5 KM
978,La Comblorane 2021 - L - 25 km,1610 M+,25 KM
977,Stumptown Trail Runs 2021 - 50K,1190 M+,48.2 KM
976,Country to Capital 2022,820 M+,69.6 KM
975,Bishop High Sierra Ultras 2021 - 100k,3300 M+,100 KM
974,Kilmac Running Festival 2021 - 5 Tops & 1 Drop,1580 M+,28.5 KM
973,Ultra Desafio Itamonte 2021 - Ultra Desafio 35 km,1010 M+,36.7 KM
972,Metsovo Ursa Trail 2021 - Ursa Trail 11km,670 M+,11.2 KM
971,Santo Antão Triangle Trail 2021 - TRAIL-STAGE 3 PONTA DO SOL,2770 M+,39.7 KM
968,Serra Amarela Sky Marathon 2021 - Sky Race 30Km,2000 M+,30 KM
986,STUMILAK 2021,9110 M+,179.4 KM
1175,The Winter Green Man Ultra 2022 - Winter Green Man Ultra,1225 M+,72 KM
1174,Ultra Tour des Côtes d'Armor 2022 - 90 Km,1560 M+,90.2 KM
1173,Elephant Mountain Trail Runs 2022 - 35 Km,890 M+,34.5 KM
1172,La Romagnatoise 2022 - La ronde des plateaux,1450 M+,36 KM
2613,Taranis Arga Trail 2022 - 5 boucles,2760 M+,60.2 KM
2611,Lake District Challenge 2022 - Lake  District  - Full,2380 M+,100.4 KM
2609,Marathon du Mont-Blanc 2022 - 23 Km du Mont-Blanc,1657 M+,24.4 KM
2460,South West Coast 50 2022 - South West Coast 50,1600 M+,50 KM
2459,Trail de Chimay 2022 - 27km,650 M+,26.8 KM
2458,Persenk Ultra 2022 - WILD BOAR ULTRA,4710 M+,112 KM
2430,"19° Edición “UT-Tafí” 2022 - 42K - ""UT-Tafí""",1585 M+,43.5 KM
